,,model_cost,model_cost,model_latency,model_latency,accuracy,accuracy,f1_score,f1_score,recall,recall,rcs,rcs
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,cost_weight,,,,,,,,,,,,
LR,0.9,1343.3194,,630622.8,,0.7586,,0.7083,,0.7586,,21.5055,
LR,1.0,1334.3374,,648292.0,,0.7655,,0.7072,,0.7655,,22.0303,
ONL,0.1,1726.4068,,467208.8,,0.5209,,0.5259,,0.5209,,0.0,
ONL,0.2,1726.4068,,467208.8,,0.5209,,0.5259,,0.5209,,0.0,
ONL,0.3,1719.7729,,476456.0,,0.5179,,0.5302,,0.5179,,0.0,
ONL,0.4,1719.7729,,476456.0,,0.5179,,0.5302,,0.5179,,0.0,
ONL,0.5,1719.7729,,476456.0,,0.5179,,0.5302,,0.5179,,0.0,
ONL,0.6,1719.7729,,476456.0,,0.5179,,0.5302,,0.5179,,0.0,
ONL,0.7,1719.7729,,476456.0,,0.5179,,0.5302,,0.5179,,0.0,
ONL,0.8,1711.354,,483188.4,,0.5148,,0.5341,,0.5148,,0.0,
ONL,0.9,1711.354,,483188.4,,0.5148,,0.5341,,0.5148,,0.0,
ONL,1.0,1711.354,,483188.4,,0.5148,,0.5341,,0.5148,,0.0,
RF,0.1,2058.8966,,411369.2,,0.2107,,0.1156,,0.2107,,-19.2591,
RF,0.2,1946.561,,441416.4,,0.22,,0.1672,,0.22,,-12.7522,
RF,0.3,1815.3591,,466156.8,,0.2673,,0.2651,,0.2673,,-5.5581,
RF,0.4,1750.0231,,477527.6,,0.3353,,0.363,,0.3353,,-1.759,
RF,0.5,1623.7418,,502540.0,,0.4806,,0.5137,,0.4806,,5.5839,
RF,0.6,1510.928,,522929.6,,0.6039,,0.6458,,0.6039,,12.1437,
RF,0.7,1467.8235,,547246.0,,0.6639,,0.6958,,0.6639,,14.6502,
RF,0.8,1425.4652,,580983.2,,0.7168,,0.7246,,0.7168,,16.7054,
RF,0.9,1415.6643,,619098.4,,0.7256,,0.7237,,0.7256,,17.2781,
RF,1.0,1409.5449,,659725.6,,0.7299,,0.7196,,0.7299,,17.6357,
SV,0.1,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
SV,0.2,2071.0488,,407034.4,,0.1996,,0.0852,,0.1996,,-19.963,
SV,0.3,1892.8654,,452841.2,,0.1968,,0.1518,,0.1968,,-10.0649,
SV,0.4,1810.6975,,467670.8,,0.265,,0.2687,,0.265,,-5.287,
SV,0.5,1591.698,,501204.8,,0.5175,,0.559,,0.5175,,7.4472,
SV,0.6,1474.2676,,526577.2,,0.66,,0.6952,,0.66,,14.2754,
SV,0.7,1420.0,,549458.0,,0.7114,,0.724,,0.7114,,17.431,
SV,0.8,1388.9376,,581719.6,,0.7471,,0.736,,0.7471,,18.8398,
SV,0.9,1353.7302,,612411.2,,0.7649,,0.7354,,0.7649,,20.8971,
SV,1.0,1343.9046,,667595.2,,0.7653,,0.7208,,0.7653,,21.4713,
SV-Grid,0.1,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
SV-Grid,0.2,2085.8721,,406191.2,,0.1919,,0.0701,,0.1919,,-20.8216,
SV-Grid,0.3,1919.5479,,445636.0,,0.1779,,0.1094,,0.1779,,-11.6164,
SV-Grid,0.4,1848.3254,,455541.2,,0.2283,,0.2026,,0.2283,,-7.475,
SV-Grid,0.5,1831.4841,,463478.8,,0.2364,,0.22,,0.2364,,-6.4957,
SV-Grid,0.6,1602.6334,,492080.8,,0.4907,,0.5273,,0.4907,,6.8113,
SV-Grid,0.7,1499.7301,,524139.6,,0.6203,,0.6556,,0.6203,,12.7949,
SV-Grid,0.8,1500.8652,,612242.0,,0.6569,,0.6742,,0.6569,,12.2996,
SV-Grid,0.9,1603.9247,,928875.6,,0.675,,0.6591,,0.675,,6.2774,
SV-Grid,1.0,1636.4343,,1068716.0,,0.7026,,0.6572,,0.7026,,4.3778,
SVML,0.1,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
SVML,0.2,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
SVML,0.3,1921.8589,,449275.2,,0.1768,,0.11,,0.1768,,-11.7507,
SVML,0.4,1868.402,,470929.2,,0.1666,,0.1222,,0.1666,,-8.6424,
SVML,0.5,1842.5034,,486350.8,,0.1875,,0.1651,,0.1875,,-7.1364,
SVML,0.6,1754.7294,,511642.4,,0.2913,,0.3,,0.2913,,-2.0326,
SVML,0.7,1510.8778,,572124.8,,0.5745,,0.6176,,0.5745,,12.1467,
SVML,0.8,1438.8757,,597400.0,,0.6805,,0.6785,,0.6805,,15.9218,
SVML,0.9,1399.7437,,619970.4,,0.7162,,0.6921,,0.7162,,18.2084,
SVML,1.0,1365.736,,638940.4,,0.7311,,0.6933,,0.7311,,20.1956,
SVMR,0.1,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
SVMR,0.2,2093.6871,,404918.4,,0.1921,,0.0673,,0.1921,,-21.2743,
SVMR,0.3,1929.4221,,444727.2,,0.1794,,0.1076,,0.1794,,-12.1905,
SVMR,0.4,1877.9049,,455143.6,,0.2043,,0.1591,,0.2043,,-9.1949,
SVMR,0.5,1847.0061,,461861.2,,0.2157,,0.1897,,0.2157,,-7.3983,
SVMR,0.6,1742.6832,,478228.4,,0.3292,,0.3379,,0.3292,,-1.3322,
SVMR,0.7,1538.8791,,531538.8,,0.586,,0.6272,,0.586,,10.5185,
SVMR,0.8,1561.2578,,650498.8,,0.6191,,0.6412,,0.6191,,8.7706,
SVMR,0.9,1638.8661,,890355.2,,0.6677,,0.6585,,0.6677,,4.2357,
SVMR,1.0,1620.6718,,1011455.6,,0.7225,,0.6827,,0.7225,,5.2989,
