model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
AHL,0,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,12803.93871360084,422.7196559999771,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,33202.50508799888,422.7196559999771,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,19105.256327998537,422.7196559999771,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0,0.7736132358773868,0.7810874005366719,0.7736132358773868,0.7659355937349933,11450.556004399214,422.7196559999771,538153.6,405977.6,23269.0,1459.0,1099.0,1713.0,508.0,416.0,2291.0,1013.0,3530.0
ONL,0,0.7789393166751658,0.7778098393527454,0.7789393166751658,0.7744611025041763,10539.612308799224,422.7196559999771,514194.4,405977.6,22824.0,1416.0,1587.0,1575.0,462.0,600.0,2067.0,558.0,4209.0
KNN,0,0.7095586152189925,0.7357905989159541,0.7095586152189925,0.6869463925726723,12283.778151199558,422.7196559999771,548539.2,405977.6,21266.0,904.0,3657.0,1694.0,306.0,637.0,2461.0,899.0,3474.0
