,,model_cost,model_cost,model_latency,model_latency,accuracy,accuracy,f1_score,f1_score,recall,recall,rcs,rcs
AWL,0.9,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-13.108,
AWL,1.0,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-13.108,
DCT,0.1,1712.8079,,483814.8,,0.2067,,0.1239,,0.2067,,-13.8923,
DCT,0.2,1654.352,,498701.6,,0.2098,,0.1434,,0.2098,,-10.0053,
DCT,0.3,1531.3714,,541217.2,,0.2111,,0.1893,,0.2111,,-2.619,
DCT,0.4,1452.8054,,566650.0,,0.3018,,0.3021,,0.3018,,2.6458,
DCT,0.5,1294.0482,,587268.0,,0.5088,,0.5515,,0.5088,,13.2843,
DCT,0.6,1235.4009,,604348.8,,0.5969,,0.6328,,0.5969,,17.2143,
DCT,0.7,1183.6284,,620864.4,,0.6696,,0.6826,,0.6696,,20.6836,
DCT,0.8,1170.876,,623741.6,,0.6874,,0.6929,,0.6874,,20.1832,
DCT,0.9,1161.7408,,628018.4,,0.696,,0.6966,,0.696,,20.8059,
DCT,1.0,1154.5551,,630120.8,,0.7037,,0.6996,,0.7037,,21.2958,
HV,0.1,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,21.2195,
HV,0.2,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,21.2195,
HV,0.3,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,20.6073,
HV,0.4,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,20.6073,
HV,0.5,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,20.6073,
HV,0.6,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,20.6073,
HV,0.7,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,20.6073,
HV,0.8,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,19.2362,
HV,0.9,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,19.2362,
HV,1.0,1184.7673,,552980.0,,0.6961,,0.7077,,0.6961,,19.2362,
KNN,0.1,1479.279,,468520.8,,0.4337,,0.4088,,0.4337,,1.6361,
KNN,0.2,1479.279,,468520.8,,0.4337,,0.4088,,0.4337,,1.6361,
KNN,0.3,1479.279,,468520.8,,0.4337,,0.4088,,0.4337,,0.8717,
KNN,0.4,1176.9112,,576877.6,,0.7271,,0.7108,,0.7271,,21.1338,
KNN,0.5,1176.9112,,576877.6,,0.7271,,0.7108,,0.7271,,21.1338,
KNN,0.6,1176.9112,,576877.6,,0.7271,,0.7108,,0.7271,,21.1338,
KNN,0.7,1145.9718,,616831.2,,0.7274,,0.7056,,0.7274,,23.2071,
KNN,0.8,1145.9718,,616831.2,,0.7274,,0.7056,,0.7274,,21.8809,
KNN,0.9,1145.9718,,616831.2,,0.7274,,0.7056,,0.7274,,21.8809,
KNN,1.0,1108.217,,682180.8,,0.7155,,0.6798,,0.7155,,24.4546,
LR,0.1,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
LR,0.2,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
LR,0.3,1696.8514,,426487.6,,0.2028,,0.0933,,0.2028,,-13.708,
LR,0.4,1587.6737,,459621.2,,0.1969,,0.124,,0.1969,,-6.3919,
LR,0.5,1507.739,,493477.2,,0.2324,,0.2052,,0.2324,,-1.0354,
LR,0.6,1387.4598,,547728.4,,0.3808,,0.4288,,0.3808,,7.0247,
LR,0.7,1161.5894,,619692.0,,0.6597,,0.6326,,0.6597,,22.1605,
LR,0.8,1065.0442,,674629.6,,0.7261,,0.6538,,0.7261,,27.3976,
LR,0.9,1046.562,,716864.0,,0.7206,,0.6348,,0.7206,,28.6575,
LR,1.0,1043.6082,,746020.8,,0.7148,,0.6229,,0.7148,,28.8588,
ONL,0.1,1503.884,,478519.2,,0.4458,,0.4452,,0.4458,,0.0,
ONL,0.2,1503.884,,478519.2,,0.4458,,0.4452,,0.4458,,0.0,
ONL,0.3,1492.2879,,483490.4,,0.4446,,0.4542,,0.4446,,0.0,
ONL,0.4,1492.2879,,483490.4,,0.4446,,0.4542,,0.4446,,0.0,
ONL,0.5,1492.2879,,483490.4,,0.4446,,0.4542,,0.4446,,0.0,
ONL,0.6,1492.2879,,483490.4,,0.4446,,0.4542,,0.4446,,0.0,
ONL,0.7,1492.2879,,483490.4,,0.4446,,0.4542,,0.4446,,0.0,
ONL,0.8,1466.9543,,491903.2,,0.4441,,0.4633,,0.4441,,0.0,
ONL,0.9,1466.9543,,491903.2,,0.4441,,0.4633,,0.4441,,0.0,
ONL,1.0,1466.9543,,491903.2,,0.4441,,0.4633,,0.4441,,0.0,
RF,0.1,1725.8873,,406695.6,,0.2197,,0.1064,,0.2197,,-14.762,
RF,0.2,1661.9704,,428238.0,,0.223,,0.1329,,0.223,,-10.5119,
RF,0.3,1536.0775,,487006.8,,0.2212,,0.1842,,0.2212,,-2.9344,
RF,0.4,1460.1056,,525377.2,,0.3131,,0.3067,,0.3131,,2.1566,
RF,0.5,1290.1853,,554652.0,,0.519,,0.5622,,0.519,,13.5431,
RF,0.6,1224.786,,584900.8,,0.6048,,0.642,,0.6048,,17.9256,
RF,0.7,1171.6993,,616988.8,,0.6767,,0.6895,,0.6767,,21.483,
RF,0.8,1140.8038,,640253.2,,0.6911,,0.6928,,0.6911,,22.2332,
RF,0.9,1129.4273,,664952.4,,0.6961,,0.6888,,0.6961,,23.0087,
RF,1.0,1111.0667,,692776.8,,0.702,,0.6833,,0.702,,24.2603,
SV,0.1,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
SV,0.2,1739.1146,,391354.0,,0.2151,,0.0835,,0.2151,,-15.6415,
SV,0.3,1578.5006,,455182.4,,0.2072,,0.143,,0.2072,,-5.7772,
SV,0.4,1494.4147,,481628.4,,0.2608,,0.2458,,0.2608,,-0.1425,
SV,0.5,1283.4274,,538959.2,,0.542,,0.592,,0.542,,13.996,
SV,0.6,1198.1388,,578490.0,,0.6585,,0.6812,,0.6585,,19.7113,
SV,0.7,1137.7815,,624420.4,,0.7046,,0.7003,,0.7046,,23.7559,
SV,0.8,1098.7697,,669478.8,,0.721,,0.6933,,0.721,,25.0986,
SV,0.9,1065.979,,716392.0,,0.7271,,0.6746,,0.7271,,27.3339,
SV,1.0,1046.8559,,761451.6,,0.7183,,0.6468,,0.7183,,28.6375,
SV-Grid,0.1,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
SV-Grid,0.2,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
SV-Grid,0.3,1632.1965,,443750.4,,0.2017,,0.1115,,0.2017,,-9.3754,
SV-Grid,0.4,1589.7562,,453500.0,,0.2009,,0.1264,,0.2009,,-6.5315,
SV-Grid,0.5,1532.7697,,475974.0,,0.2494,,0.2103,,0.2494,,-2.7127,
SV-Grid,0.6,1422.7454,,512216.4,,0.3802,,0.3957,,0.3802,,4.6601,
SV-Grid,0.7,1308.7869,,565671.2,,0.5414,,0.5767,,0.5414,,12.2966,
SV-Grid,0.8,1244.3308,,643295.2,,0.5899,,0.6027,,0.5899,,15.1759,
SV-Grid,0.9,1145.2345,,1036778.4,,0.677,,0.6109,,0.677,,21.9311,
SV-Grid,1.0,1115.2746,,1081647.2,,0.7045,,0.6106,,0.7045,,23.9735,
SVML,0.1,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
SVML,0.2,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
SVML,0.3,1710.1283,,403608.4,,0.2103,,0.0859,,0.2103,,-14.5977,
SVML,0.4,1545.0646,,480810.4,,0.1877,,0.1325,,0.1877,,-3.5366,
SVML,0.5,1515.8363,,510442.4,,0.2197,,0.1923,,0.2197,,-1.578,
SVML,0.6,1430.2018,,551809.6,,0.3291,,0.3551,,0.3291,,4.1605,
SVML,0.7,1258.2102,,615228.4,,0.5265,,0.5525,,0.5265,,15.6858,
SVML,0.8,1128.3563,,661185.2,,0.6447,,0.6118,,0.6447,,23.0817,
SVML,0.9,1079.545,,697780.8,,0.6831,,0.6209,,0.6831,,26.4091,
SVML,1.0,1065.8814,,730275.6,,0.6908,,0.6161,,0.6908,,27.3405,
SVMR,0.1,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
SVMR,0.2,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
SVMR,0.3,1626.1938,,445979.6,,0.2016,,0.1128,,0.2016,,-8.9732,
SVMR,0.4,1561.0019,,467694.0,,0.2131,,0.1601,,0.2131,,-4.6046,
SVMR,0.5,1453.5366,,501398.8,,0.2939,,0.2801,,0.2939,,2.5968,
SVMR,0.6,1350.5416,,543814.4,,0.4118,,0.4259,,0.4118,,9.4986,
SVMR,0.7,1250.7097,,627072.4,,0.5641,,0.5862,,0.5641,,16.1884,
SVMR,0.8,1206.0071,,729532.0,,0.5963,,0.6007,,0.5963,,17.7884,
SVMR,0.9,1157.9955,,996056.4,,0.6661,,0.6129,,0.6661,,21.0612,
SVMR,1.0,1118.2957,,1046109.6,,0.7087,,0.6181,,0.7087,,23.7675,
