,,model_cost,model_cost,model_latency,model_latency,accuracy,accuracy,f1_score,f1_score,recall,recall,rcs,rcs
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,cost_weight,,,,,,,,,,,,
ACL,0.1,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,26.432,
ACL,0.2,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,26.432,
ACL,0.3,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,25.8603,
ACL,0.4,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,25.8603,
ACL,0.5,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,25.8603,
ACL,0.6,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,25.8603,
ACL,0.7,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,25.8603,
ACL,0.8,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,24.5799,
ACL,0.9,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,24.5799,
ACL,1.0,1106.3777,,1170333.6,,0.6877,,0.5612,,0.6877,,24.5799,
AHL,0.1,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
AHL,0.2,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-16.3281,
AHL,0.3,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-17.232,
AHL,0.4,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-17.232,
AHL,0.5,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-17.232,
AHL,0.6,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-17.232,
AHL,0.7,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-17.232,
AHL,0.8,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-19.2566,
AHL,0.9,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-19.2566,
AHL,1.0,1749.4396,,390111.2,,0.2142,,0.0768,,0.2142,,-19.2566,
AWL,0.1,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-10.3305,
AWL,0.2,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-10.3305,
AWL,0.3,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-11.1878,
AWL,0.4,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-11.1878,
AWL,0.5,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-11.1878,
AWL,0.6,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-11.1878,
AWL,0.7,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-11.1878,
AWL,0.8,1659.2421,,780222.4,,0.0981,,0.0177,,0.0981,,-13.108,
