pop,model_name,cost_weight,model_cost,model_latency,accuracy,f1_score,recall,rcs
AHL,AHL,0.1,1749.4395515029385,390111.2,0.2141871321290846,0.0768234436941967,0.2141871321290846,-16.328093909860296
HV,HV,0.1,1184.7673063035809,552980.0,0.696062512685204,0.7077224588728475,0.696062512685204,21.219500067542814
KNN,KNN,0.1,1479.2789535043732,468520.8,0.4337324944185102,0.4088367477605478,0.4337324944185102,1.6360977581067577
RF,RF,0.2,1661.9704479136778,428238.0,0.2229551451187335,0.1329260130193879,0.2229551451187335,-10.51188031859823
SV,SV,0.3,1578.5006060836668,455182.4,0.2072051958595494,0.1430126993110427,0.2072051958595494,-5.7772171601045486
SV-Grid,SV-Grid,0.3,1632.1965201402752,443750.4,0.201684595088289,0.1114983345898955,0.201684595088289,-9.375444705843691
SVML,SVML,0.3,1710.128297275907,403608.4,0.2103105337933834,0.0858999013775099,0.2103105337933834,-14.59774647879066
KNN,KNN,0.4,1176.911204110987,576877.6,0.7270955956971787,0.7107989728816368,0.7270955956971787,21.133769898084207
SV,SV,0.5,1283.4273515502482,538959.2,0.5419525065963062,0.5920068863392772,0.5419525065963062,13.995995217912022
SVMR,SVMR,0.5,1453.536561603168,501398.8,0.2938908057641566,0.2801407164084372,0.2938908057641566,2.596773207256809
SV-Grid,SV-Grid,0.6,1422.745402141365,512216.4,0.3801704891414653,0.3957086147827811,0.3801704891414653,4.660125700407448
SV,SV,0.7,1137.7814842312296,624420.4,0.7046478587375685,0.7003035344294752,0.7046478587375685,23.755899317092982
SV,SV,0.8,1098.7697425835358,669478.8,0.7210269941140653,0.6933429037664675,0.7210269941140653,25.09856911297032
LR,LR,0.9,1046.5619550997849,716864.0,0.7205804749340369,0.6347850473862232,0.7205804749340369,28.657493093516322
LR,LR,1.0,1043.608209455554,746020.8,0.7147554292673026,0.6228637571148584,0.7147554292673026,28.858845357466567
