,,model_cost,model_cost,model_latency,model_latency,accuracy,accuracy,f1_score,f1_score,recall,recall,rcs,rcs
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,cost_weight,,,,,,,,,,,,
ACL,0.0,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-86.7919,
ACL,0.1,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-86.7919,
ACL,0.2,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-86.7919,
ACL,0.3,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-74.4788,
ACL,0.4,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-74.4788,
ACL,0.5,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-74.4788,
ACL,0.6,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-74.4788,
ACL,0.7,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-74.4788,
ACL,0.8,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-65.1404,
ACL,0.9,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-65.1404,
ACL,1.0,30992.5361,,1170333.6,,0.6877,,0.5612,,0.6877,,-65.1404,
AHL,0.0,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
AHL,0.1,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
AHL,0.2,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
AHL,0.3,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,1.6837,
AHL,0.4,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,1.6837,
AHL,0.5,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,1.6837,
AHL,0.6,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,1.6837,
AHL,0.7,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,1.6837,
AHL,0.8,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,6.9458,
AHL,0.9,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,6.9458,
AHL,1.0,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,6.9458,
AWL,0.0,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-172.3403,
AWL,0.1,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-172.3403,
AWL,0.2,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-172.3403,
AWL,0.3,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-154.3881,
AWL,0.4,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-154.3881,
AWL,0.5,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-154.3881,
