,,model_cost,model_cost,model_latency,model_latency,accuracy,accuracy,f1_score,f1_score,recall,recall,rcs,rcs
AWL,0.6,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-154.3881,
AWL,0.7,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-154.3881,
AWL,0.8,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-140.7728,
AWL,0.9,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-140.7728,
AWL,1.0,45186.7533,,780222.4,,0.0981,,0.0177,,0.0981,,-140.7728,
DCT,0.0,20061.5229,,474118.8,,0.198,,0.0976,,0.198,,-20.9107,
DCT,0.1,20218.4353,,475008.0,,0.1978,,0.0989,,0.1978,,-21.8564,
DCT,0.2,24794.6385,,492589.2,,0.1948,,0.1113,,0.1948,,-49.4372,
DCT,0.3,38755.255,,541769.2,,0.1853,,0.1442,,0.1853,,-118.1806,
DCT,0.4,36274.7255,,564799.6,,0.2837,,0.2553,,0.2837,,-104.216,
DCT,0.5,28239.9524,,586696.4,,0.4794,,0.4797,,0.4794,,-58.9826,
DCT,0.6,21854.8983,,615502.8,,0.6529,,0.6754,,0.6529,,-23.0366,
DCT,0.7,21887.3624,,622376.0,,0.6649,,0.6813,,0.6649,,-23.2194,
DCT,0.8,21984.2591,,631434.0,,0.6775,,0.6848,,0.6775,,-17.1408,
DCT,0.9,21804.1744,,639007.2,,0.6975,,0.693,,0.6975,,-16.1812,
DCT,1.0,21684.5471,,643220.8,,0.709,,0.6969,,0.709,,-15.5438,
HV,0.0,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-19.1826,
HV,0.1,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-19.1826,
HV,0.2,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-19.1826,
HV,0.3,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-11.3263,
HV,0.4,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-11.3263,
HV,0.5,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-11.3263,
HV,0.6,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-11.3263,
HV,0.7,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-11.3263,
HV,0.8,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-5.3679,
HV,0.9,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-5.3679,
HV,1.0,19774.802,,569568.0,,0.6885,,0.7024,,0.6885,,-5.3679,
KNN,0.0,18025.8069,,488854.4,,0.4944,,0.4517,,0.4944,,-8.6414,
KNN,0.1,18025.8069,,488854.4,,0.4944,,0.4517,,0.4944,,-8.6414,
KNN,0.2,18025.8069,,488854.4,,0.4944,,0.4517,,0.4944,,-8.6414,
KNN,0.3,18025.8069,,488854.4,,0.4944,,0.4517,,0.4944,,-1.48,
KNN,0.4,18947.4803,,589514.8,,0.7163,,0.6994,,0.7163,,-6.6687,
KNN,0.5,18947.4803,,589514.8,,0.7163,,0.6994,,0.7163,,-6.6687,
KNN,0.6,18947.4803,,589514.8,,0.7163,,0.6994,,0.7163,,-6.6687,
KNN,0.7,20974.006,,626809.2,,0.7234,,0.7,,0.7234,,-18.0775,
KNN,0.8,20974.006,,626809.2,,0.7234,,0.7,,0.7234,,-11.7578,
KNN,0.9,20974.006,,626809.2,,0.7234,,0.7,,0.7234,,-11.7578,
KNN,1.0,23968.9748,,701110.0,,0.7114,,0.6722,,0.7114,,-27.7161,
LR,0.0,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
LR,0.1,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
LR,0.2,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
LR,0.3,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,1.6837,
LR,0.4,39404.3518,,484242.4,,0.1885,,0.1401,,0.1885,,-121.8348,
LR,0.5,41079.5309,,509462.4,,0.1684,,0.1239,,0.1684,,-131.2656,
LR,0.6,38466.5772,,551867.6,,0.2737,,0.2442,,0.2737,,-116.5555,
LR,0.7,24795.3395,,652718.4,,0.7239,,0.6638,,0.7239,,-39.5904,
LR,0.8,26632.338,,699398.0,,0.7207,,0.6403,,0.7207,,-41.9076,
LR,0.9,27600.1993,,731316.0,,0.7163,,0.6268,,0.7163,,-47.0647,
LR,1.0,28187.5723,,751882.4,,0.7116,,0.6169,,0.7116,,-50.1945,
ONL,0.0,16592.0165,,527612.8,,0.7216,,0.7103,,0.7216,,0.0,
ONL,0.1,16592.0165,,527612.8,,0.7216,,0.7103,,0.7216,,0.0,
ONL,0.2,16592.0165,,527612.8,,0.7216,,0.7103,,0.7216,,0.0,
ONL,0.3,17762.9224,,536968.8,,0.7183,,0.7179,,0.7183,,0.0,
ONL,0.4,17762.9224,,536968.8,,0.7183,,0.7179,,0.7183,,0.0,
ONL,0.5,17762.9224,,536968.8,,0.7183,,0.7179,,0.7183,,0.0,
ONL,0.6,17762.9224,,536968.8,,0.7183,,0.7179,,0.7183,,0.0,
ONL,0.7,17762.9224,,536968.8,,0.7183,,0.7179,,0.7183,,0.0,
ONL,0.8,18767.3821,,548371.6,,0.7118,,0.718,,0.7118,,0.0,
ONL,0.9,18767.3821,,548371.6,,0.7118,,0.718,,0.7118,,0.0,
ONL,1.0,18767.3821,,548371.6,,0.7118,,0.718,,0.7118,,0.0,
RF,0.0,17748.4909,,393625.6,,0.2135,,0.081,,0.2135,,-6.9701,
RF,0.1,18303.5776,,405704.4,,0.2118,,0.0881,,0.2118,,-10.3156,
RF,0.2,22990.0625,,428872.8,,0.2072,,0.1053,,0.2072,,-38.561,
RF,0.3,37340.8548,,483656.0,,0.1964,,0.1447,,0.1964,,-110.218,
RF,0.4,35238.9012,,520607.6,,0.2925,,0.2593,,0.2925,,-98.3846,
RF,0.5,27352.9782,,550503.6,,0.4864,,0.4861,,0.4864,,-53.9892,
RF,0.6,21286.6679,,594046.8,,0.6577,,0.6817,,0.6577,,-19.8376,
RF,0.7,21470.545,,611880.4,,0.6687,,0.6858,,0.6687,,-20.8728,
RF,0.8,22290.6555,,636415.6,,0.6784,,0.6835,,0.6784,,-18.7734,
RF,0.9,22784.7446,,661358.0,,0.6955,,0.6849,,0.6955,,-21.4061,
RF,1.0,23478.3135,,692840.0,,0.7039,,0.6803,,0.7039,,-25.1017,
SV,0.0,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SV,0.1,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SV,0.2,17515.0706,,390386.8,,0.2141,,0.0774,,0.2141,,-5.5632,
SV,0.3,35788.2636,,456503.2,,0.2012,,0.1358,,0.2012,,-101.4773,
SV,0.4,38159.4034,,481817.2,,0.1958,,0.1453,,0.1958,,-114.8262,
SV,0.5,24048.5867,,548519.2,,0.5721,,0.5861,,0.5721,,-35.3864,
SV,0.6,21723.0595,,587559.6,,0.6586,,0.682,,0.6586,,-22.2944,
SV,0.7,22087.9007,,622894.8,,0.6957,,0.6926,,0.6957,,-24.3483,
SV,0.8,23382.3717,,674802.0,,0.7134,,0.6865,,0.7134,,-24.5905,
SV,0.9,25025.1851,,717767.2,,0.7192,,0.6686,,0.7192,,-33.344,
SV,1.0,26816.2012,,765878.4,,0.7135,,0.6422,,0.7135,,-42.8873,
SV-Grid,0.0,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SV-Grid,0.1,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SV-Grid,0.2,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SV-Grid,0.3,36310.1065,,460806.8,,0.2006,,0.1376,,0.2006,,-104.4152,
SV-Grid,0.4,38011.3572,,472133.2,,0.1968,,0.142,,0.1968,,-113.9927,
SV-Grid,0.5,38947.2937,,485488.4,,0.191,,0.1402,,0.191,,-119.2617,
SV-Grid,0.6,35874.6897,,508927.6,,0.2859,,0.2503,,0.2859,,-101.9639,
SV-Grid,0.7,21035.9614,,587045.6,,0.7047,,0.7017,,0.7047,,-18.4262,
SV-Grid,0.8,22607.5172,,721854.0,,0.7383,,0.6907,,0.7383,,-20.4618,
SV-Grid,0.9,25233.5057,,984630.4,,0.7301,,0.6598,,0.7301,,-34.4541,
SV-Grid,1.0,27040.4285,,1059498.0,,0.7191,,0.6332,,0.7191,,-44.082,
SVML,0.0,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SVML,0.1,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SVML,0.2,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SVML,0.3,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,1.6837,
SVML,0.4,39423.1942,,484930.0,,0.1877,,0.139,,0.1877,,-121.9409,
SVML,0.5,40954.7811,,507959.6,,0.1693,,0.1238,,0.1693,,-130.5633,
SVML,0.6,42587.5666,,532517.6,,0.1611,,0.1263,,0.1611,,-139.7554,
SVML,0.7,25350.1948,,666912.0,,0.7307,,0.6583,,0.7307,,-42.7141,
SVML,0.8,26595.5155,,699739.2,,0.7236,,0.6418,,0.7236,,-41.7114,
SVML,0.9,27326.8901,,721822.4,,0.7182,,0.6307,,0.7182,,-45.6084,
SVML,1.0,27847.3915,,739124.0,,0.7143,,0.6224,,0.7143,,-48.3819,
SVMR,0.0,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SVMR,0.1,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SVMR,0.2,17463.8418,,390111.2,,0.2142,,0.0768,,0.2142,,-5.2545,
SVMR,0.3,36296.009,,460981.6,,0.2001,,0.137,,0.2001,,-104.3358,
SVMR,0.4,38399.5594,,475075.2,,0.1942,,0.1409,,0.1942,,-116.1782,
SVMR,0.5,39428.4027,,488125.2,,0.1861,,0.1367,,0.1861,,-121.9702,
SVMR,0.6,36457.8132,,518881.6,,0.2783,,0.2426,,0.2783,,-105.2467,
SVMR,0.7,21995.0012,,606424.8,,0.7267,,0.6974,,0.7267,,-23.8254,
SVMR,0.8,23621.1074,,734144.8,,0.7413,,0.6787,,0.7413,,-25.8626,
SVMR,0.9,25435.4704,,944767.2,,0.7301,,0.6564,,0.7301,,-35.5302,
SVMR,1.0,26709.3971,,1000818.4,,0.7223,,0.6392,,0.7223,,-42.3182,
