model_name,cost_weight,accuracy,precision,recall,f1_score,model_cost,oracle_cost,model_latency,oracle_latency,cold_correct,cold_to_warm,cold_to_hot,warm_to_cold,warm_correct,warm_to_hot,hot_to_cold,hot_to_warm,hot_correct
AHL,0.2,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.2,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.2,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,1594.6336903518416,1156.3944558956407,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.2,0.19207887132415435,0.04155281223932005,0.19207887132415435,0.06731316401839445,2093.68707223453,1156.3944558956407,404918.4,405977.6,0.0,1673.0,24154.0,0.0,140.0,2497.0,0.0,194.0,6640.0
ONL,0.2,0.5209360303699926,0.6825428884650862,0.5209360303699926,0.5258627988164726,1726.406831162523,1156.3944558956407,467208.8,405977.6,12821.0,629.0,12377.0,825.0,85.0,1727.0,1249.0,103.0,5482.0
LR,0.2,0.1928437871834098,0.11974219589135017,0.1928437871834098,0.06629572755115588,2101.4243303586063,1156.3944558956407,403806.4,405977.6,1.0,1152.0,24674.0,0.0,103.0,2534.0,0.0,131.0,6703.0
SVML,0.2,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
RF,0.2,0.2199841350784747,0.6134896872459215,0.2199841350784747,0.16715048605103133,1946.5610369569679,1156.3944558956407,441416.4,405977.6,1425.0,11954.0,12448.0,176.0,917.0,1544.0,198.0,1213.0,5423.0
DCT,0.2,0.21199501388180633,0.49641759834926513,0.21199501388180633,0.18158749170278243,1923.6414449870133,1156.3944558956407,494302.8,405977.6,1976.0,12100.0,11751.0,376.0,997.0,1264.0,749.0,1575.0,4510.0
KNN,0.2,0.5286985098305852,0.7141239780762494,0.5286985098305852,0.5329216742191463,1696.101955458143,1156.3944558956407,487684.4,405977.6,13406.0,2484.0,9937.0,981.0,401.0,1255.0,1298.0,681.0,4855.0
SV-Grid,0.2,0.19188055980508814,0.044823621590409396,0.19188055980508814,0.07014766612575356,2085.8721137107955,1156.3944558956407,406191.2,405977.6,0.0,2524.0,23303.0,0.0,202.0,2435.0,0.0,263.0,6571.0
HV,0.2,0.7079154626324438,0.7692679320718666,0.7079154626324438,0.7280479487595063,1454.3092457471814,1156.3944558956407,520291.2,405977.6,20478.0,3740.0,1609.0,1390.0,603.0,644.0,1970.0,957.0,3907.0
SV,0.2,0.19964303926568075,0.4872228424892549,0.19964303926568075,0.08520708855666763,2071.048813911514,1156.3944558956407,407034.4,405977.6,185.0,4042.0,21600.0,12.0,335.0,2290.0,10.0,297.0,6527.0
AHL,0.5,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.5,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.5,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,1594.6336903518416,1156.3944558956407,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.5,0.21570627231004588,0.6422356100856909,0.21570627231004588,0.18971579094697522,1847.006080105758,1156.3944558956407,461861.2,405977.6,1810.0,20676.0,3341.0,162.0,1706.0,769.0,221.0,2515.0,4098.0
ONL,0.5,0.5179046971499802,0.6883980622252158,0.5179046971499802,0.5301671694092557,1719.7728812532682,1156.3944558956407,476456.0,405977.6,12821.0,1795.0,11211.0,825.0,247.0,1565.0,1249.0,372.0,5213.0
LR,0.5,0.19366536347668425,0.5746454466050556,0.19366536347668425,0.16891599181029504,1845.3235374396602,1156.3944558956407,480472.8,405977.6,1299.0,22697.0,1831.0,121.0,2012.0,504.0,229.0,3080.0,3525.0
SVML,0.5,0.18746104595161198,0.5687807811288068,0.18746104595161198,0.1650723210437902,1842.5034009462513,1156.3944558956407,486350.8,405977.6,1259.0,23534.0,1034.0,118.0,2175.0,344.0,202.0,3449.0,3183.0
RF,0.5,0.4805938013485183,0.733278140751923,0.4805938013485183,0.5137125230707842,1623.7418354417198,1156.3944558956407,502540.0,405977.6,11861.0,11831.0,2135.0,835.0,1094.0,708.0,1183.0,1642.0,4009.0
DCT,0.5,0.4711598390843673,0.6961413091767992,0.4711598390843673,0.5060606719816535,1624.7782025346423,1156.3944558956407,542625.2,405977.6,12061.0,11803.0,1963.0,933.0,1094.0,610.0,1561.0,1797.0,3476.0
KNN,0.5,0.6523315768598786,0.7349802835431839,0.6523315768598786,0.6555446353225859,1552.3779468577604,1156.3944558956407,523009.2,405977.6,18627.0,1631.0,5569.0,1460.0,375.0,802.0,1991.0,819.0,4024.0
SV-Grid,0.5,0.23644399116097226,0.609309885137119,0.23644399116097226,0.21996025603392863,1831.4841154014434,1156.3944558956407,463478.8,405977.6,2572.0,20017.0,3238.0,223.0,1620.0,794.0,318.0,2362.0,4154.0
HV,0.5,0.7079154626324438,0.7692679320718666,0.7079154626324438,0.7280479487595063,1454.3092457471814,1156.3944558956407,520291.2,405977.6,20478.0,3740.0,1609.0,1390.0,603.0,644.0,1970.0,957.0,3907.0
SV,0.5,0.5175080741118477,0.7501011249390573,0.5175080741118477,0.5590008450987044,1591.6979778132802,1156.3944558956407,501204.8,405977.6,13187.0,10875.0,1765.0,873.0,1103.0,661.0,1203.0,1654.0,3977.0
AHL,0.8,0.1936087030426653,0.03814495414853338,0.1936087030426653,0.06361155746284868,2110.8382765730075,1156.3944558956407,401169.6,405977.6,0.0,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0
AWL,0.8,0.07470678225395205,0.005685510493896667,0.07470678225395205,0.010555649343148161,2184.770327738542,1156.3944558956407,802339.2,405977.6,0.0,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0
ACL,0.8,0.7316845147033826,0.536563280010982,0.7316845147033826,0.6187635149452234,1594.6336903518416,1156.3944558956407,1203508.8,405977.6,25827.0,0.0,0.0,2637.0,0.0,0.0,6834.0,0.0,0.0
SVMR,0.8,0.61907190209077,0.7171398027246105,0.61907190209077,0.6412201254773247,1561.2578025872754,1156.3944558956407,650498.8,405977.6,18279.0,5535.0,2013.0,1587.0,583.0,467.0,2976.0,868.0,2990.0
ONL,0.8,0.5148450337129583,0.6948201276451402,0.5148450337129583,0.534062352088294,1711.3540469122142,1156.3944558956407,483188.4,405977.6,12821.0,3168.0,9838.0,825.0,414.0,1398.0,1249.0,647.0,4938.0
LR,0.8,0.7490226075131735,0.7416473883170378,0.7490226075131735,0.7106330837443091,1365.1651474855114,1156.3944558956407,611529.6,405977.6,23921.0,1245.0,661.0,2322.0,118.0,197.0,4202.0,232.0,2400.0
SVML,0.8,0.6805484730013032,0.7447546969676893,0.6805484730013032,0.6785477783053002,1438.8757190079268,1156.3944558956407,597400.0,405977.6,21237.0,3904.0,686.0,1979.0,463.0,195.0,3628.0,884.0,2322.0
RF,0.8,0.7167828205564055,0.7540874195099361,0.7167828205564055,0.7246404746092333,1425.4651925919743,1156.3944558956407,580983.2,405977.6,21538.0,3297.0,992.0,1719.0,499.0,419.0,2756.0,814.0,3264.0
DCT,0.8,0.7072355374242166,0.7514949630904368,0.7072355374242166,0.7205064785375886,1450.3060429387856,1156.3944558956407,566661.2,405977.6,21100.0,3451.0,1276.0,1606.0,529.0,502.0,2512.0,987.0,3335.0
KNN,0.8,0.7537537537537538,0.7600326261286686,0.7537537537537538,0.7467907405689471,1414.8001164505772,1156.3944558956407,562859.2,405977.6,22959.0,1766.0,1102.0,1764.0,423.0,450.0,2603.0,1007.0,3224.0
SV-Grid,0.8,0.6568644115813927,0.7262656848491174,0.6568644115813927,0.6742249281827173,1500.865184625456,1156.3944558956407,612242.0,405977.6,19584.0,4651.0,1592.0,1724.0,483.0,430.0,3071.0,644.0,3119.0
HV,0.8,0.7079154626324438,0.7692679320718666,0.7079154626324438,0.7280479487595063,1454.3092457471814,1156.3944558956407,520291.2,405977.6,20478.0,3740.0,1609.0,1390.0,603.0,644.0,1970.0,957.0,3907.0
SV,0.8,0.7471244829735396,0.7638187516875602,0.7471244829735396,0.7360271702037352,1388.937590001876,1156.3944558956407,581719.6,405977.6,23031.0,2221.0,575.0,1988.0,371.0,278.0,3221.0,643.0,2970.0
